work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,experience_rating,country,salary_in_aud,cost_of_living
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,3,Spain,129209,63.4
2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,2,United States of America,45153,104.1
2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,2,United States of America,38380,104.1
2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M,3,Canada,263395,87.0
2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M,3,Canada,180614,87.0
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,3,United States of America,334437,104.1
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,3,United States of America,204695,104.1
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M,3,Canada,329620,87.0
2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M,3,Canada,212221,87.0
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,3,United States of America,221402,104.1
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,3,United States of America,136514,104.1
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,3,United States of America,195665,104.1
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,3,United States of America,150511,104.1
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,1,United States of America,321583,104.1
2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,1,United States of America,196809,104.1
2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,3,United States of America,221402,104.1
2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,3,United States of America,136514,104.1
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,3,United States of America,255869,104.1
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,3,United States of America,225767,104.1
2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,2,United States of America,225767,104.1
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,2,United States of America,165562,104.1
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M,3,Germany,413907,78.2
2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M,3,Germany,261890,78.2
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M,3,United Kingdom of Great Britain and Northern Ireland,346177,80.5
2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M,3,United Kingdom of Great Britain and Northern Ireland,215532,80.5
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,3,United States of America,338651,104.1
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,3,United States of America,235400,104.1
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,3,United States of America,301023,104.1
